Tank,Atrazine_Conc,Density,Rep_per_Block,Date,Mass_per_larva
1,50,24,2,24-Apr-02,0.1568
2,500,48,4,24-Apr-02,0.0827
3,5,48,6,24-Apr-02,0.0641
4,50,48,6,24-Apr-02,0.0739
5,5,48,2,24-Apr-02,0.1433
6,0,48,6,24-Apr-02,0.0695
7,50,24,1,24-Apr-02,0.1708
8,0,24,5,24-Apr-02,0.1456
9,0,24,1,24-Apr-02,0.1727
10,500,24,6,24-Apr-02,0.1427
11,5,48,4,24-Apr-02,0.0723
12,50,48,5,24-Apr-02,0.0800
13,5,24,6,24-Apr-02,0.1308
14,0,48,4,24-Apr-02,0.0697
15,500,24,3,24-Apr-02,0.1511
16,500,24,1,24-Apr-02,0.1384
17,0,48,1,24-Apr-02,0.0842
18,5,24,1,24-Apr-02,0.1593
19,500,48,3,24-Apr-02,0.0623
20,50,24,5,24-Apr-02,0.1601
21,0,48,5,24-Apr-02,0.0715
22,5,48,3,24-Apr-02,0.0701
23,500,48,2,24-Apr-02,0.1562
24,50,24,3,24-Apr-02,0.1658
25,5,48,5,24-Apr-02,0.0755
26,0,24,4,24-Apr-02,0.1414
27,5,24,2,24-Apr-02,0.1414
28,500,24,4,24-Apr-02,0.1487
29,50,48,1,24-Apr-02,0.0749
30,500,48,1,24-Apr-02,0.0758
31,5,48,1,24-Apr-02,0.0695
32,5,24,3,24-Apr-02,0.1732
33,50,24,4,24-Apr-02,0.1666
34,50,48,2,24-Apr-02,0.1703
35,500,24,2,24-Apr-02,0.1618
36,0,48,3,24-Apr-02,0.0657
37,0,24,2,24-Apr-02,0.1366
38,500,48,5,24-Apr-02,0.0807
39,0,24,3,24-Apr-02,0.1501
40,5,24,4,24-Apr-02,0.1767
41,0,24,6,24-Apr-02,0.1692
42,50,48,3,24-Apr-02,0.0909
43,5,24,5,24-Apr-02,0.1565
44,500,24,5,24-Apr-02,0.1638
45,500,48,6,24-Apr-02,0.0709
46,50,48,4,24-Apr-02,0.0744
47,0,48,2,24-Apr-02,0.1360
48,50,24,6,24-Apr-02,0.1708
1,50,24,2,8-May-02,0.3938
2,500,48,4,8-May-02,0.2044
3,5,48,6,8-May-02,0.1873
4,50,48,6,8-May-02,0.2547
5,5,48,2,8-May-02,0.4641
6,0,48,6,8-May-02,0.1871
7,50,24,1,8-May-02,0.3750
8,0,24,5,8-May-02,0.3481
9,0,24,1,8-May-02,0.3660
10,500,24,6,8-May-02,0.3758
11,5,48,4,8-May-02,0.2256
12,50,48,5,8-May-02,0.2346
13,5,24,6,8-May-02,0.3637
14,0,48,4,8-May-02,0.1927
15,500,24,3,8-May-02,0.3734
16,500,24,1,8-May-02,0.3615
17,0,48,1,8-May-02,0.2519
18,5,24,1,8-May-02,0.3510
19,500,48,3,8-May-02,0.2017
20,50,24,5,8-May-02,0.3536
21,0,48,5,8-May-02,0.2067
22,5,48,3,8-May-02,0.1973
23,500,48,2,8-May-02,0.3561
24,50,24,3,8-May-02,0.3805
25,5,48,5,8-May-02,0.2250
26,0,24,4,8-May-02,0.3985
27,5,24,2,8-May-02,0.2672
28,500,24,4,8-May-02,0.4078
29,50,48,1,8-May-02,0.2618
30,500,48,1,8-May-02,0.2547
31,5,48,1,8-May-02,0.2241
32,5,24,3,8-May-02,0.3856
33,50,24,4,8-May-02,0.3743
34,50,48,2,8-May-02,0.3186
35,500,24,2,8-May-02,0.4134
36,0,48,3,8-May-02,0.2535
37,0,24,2,8-May-02,0.3515
38,500,48,5,8-May-02,0.2562
39,0,24,3,8-May-02,0.3427
40,5,24,4,8-May-02,0.4117
41,0,24,6,8-May-02,0.4027
42,50,48,3,8-May-02,0.2462
43,5,24,5,8-May-02,0.3490
44,500,24,5,8-May-02,0.3999
45,500,48,6,8-May-02,0.1944
46,50,48,4,8-May-02,0.1701
47,0,48,2,8-May-02,0.4302
48,50,24,6,8-May-02,0.3865
1,50,24,2,22-May-02,0.7551
2,500,48,4,22-May-02,0.4876
3,5,48,6,22-May-02,0.4102
4,50,48,6,22-May-02,0.4898
5,5,48,2,22-May-02,0.9739
6,0,48,6,22-May-02,0.3160
7,50,24,1,22-May-02,0.7240
8,0,24,5,22-May-02,0.6678
9,0,24,1,22-May-02,0.6855
10,500,24,6,22-May-02,0.6832
11,5,48,4,22-May-02,0.4418
12,50,48,5,22-May-02,0.3861
13,5,24,6,22-May-02,0.7125
14,0,48,4,22-May-02,0.3500
15,500,24,3,22-May-02,0.7023
16,500,24,1,22-May-02,0.6819
17,0,48,1,22-May-02,0.4585
18,5,24,1,22-May-02,0.4221
19,500,48,3,22-May-02,0.3683
20,50,24,5,22-May-02,0.6600
21,0,48,5,22-May-02,0.3829
22,5,48,3,22-May-02,0.3506
23,500,48,2,22-May-02,0.7823
24,50,24,3,22-May-02,0.6692
25,5,48,5,22-May-02,0.4179
26,0,24,4,22-May-02,0.6925
27,5,24,2,22-May-02,0.5186
28,500,24,4,22-May-02,0.7295
29,50,48,1,22-May-02,0.4392
30,500,48,1,22-May-02,0.3999
31,5,48,1,22-May-02,0.4452
32,5,24,3,22-May-02,0.6519
33,50,24,4,22-May-02,0.6868
34,50,48,2,22-May-02,0.7743
35,500,24,2,22-May-02,0.6852
36,0,48,3,22-May-02,0.4745
37,0,24,2,22-May-02,0.6368
38,500,48,5,22-May-02,0.4609
39,0,24,3,22-May-02,0.6485
40,5,24,4,22-May-02,0.6830
41,0,24,6,22-May-02,0.6655
42,50,48,3,22-May-02,0.4571
43,5,24,5,22-May-02,0.6333
44,500,24,5,22-May-02,7.1771
45,500,48,6,22-May-02,0.4490
46,50,48,4,22-May-02,0.4253
47,0,48,2,22-May-02,0.7905
48,50,24,6,22-May-02,0.6362
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
